Nama Barang,nama_clean,MAPE_Prophet,MAPE_Naive,RMSE_Prophet,RMSE_Naive
Lampu Depan,lampudepan,5.245940058652,19.607843137254903,0.17863718552649746,0.5580998206737443
Busi CPR 9,busicpr9,7.203233016944568,19.230769230769234,0.15041509585414026,0.5580998206737443
Kampas Rem Depan,kampasremdepan,7.742095027619995,25.0,0.2699923566658425,0.6140433049287882
Filter Udara,filterudara,13.078711064368331,25.0,0.29963396480437743,0.6140433049287882
Lampu Belakang,lampubelakang,15.690874566500156,32.608695652173914,0.30671023325913627,0.6894996998299374
Seel Master Rem,seelmasterrem,20.47486917930075,25.0,0.2973866627332481,0.6140433049287882
Kampas Rem Belakang,kampasrembelakang,30.06664119015094,29.545454545454547,0.38299709667997606,0.6401843996644799
Oli Yamalube 1L,oliyamalube1l,30.31236190551035,58.333333333333336,0.848195011211147,1.7602160821154047
Oli AHM MPX2,oliahmmpx2,31.35827096723547,39.42307692307692,0.7883007371323497,1.7034198966380236
Aki Kering 5Ah,akikering5ah,31.4848153402497,38.88888888888889,0.392703035482656,0.6775074858941582
Oli Federal 0.8L,olifederal08l,38.84170076172603,40.666666666666664,0.9854570672050557,1.6595476373565592
